date,晚盘价,早盘价
2025-05-14,736.17,743.35
2025-05-15,748.62,750.12
2025-05-18,752.66,752.67
2025-05-19,751.54,752.31
2025-05-20,775.17,770.81
2025-05-21,776.85,780.29
2025-05-22,776.65,771.05
2025-05-25,774.33,776.76
2025-05-26,768.07,775.98
2025-05-27,768.61,769.24
2025-05-28,761.27,760.06
2025-05-29,768.02,768.09
2025-06-02,779.5,783.66
2025-06-03,779.61,781.74
2025-06-04,780.37,781.61
2025-06-05,779.91,779.88
2025-06-08,771.29,765.53
2025-06-09,772.7,767.6
2025-06-10,774.74,773.94
2025-06-11,781.68,782.67
2025-06-12,790.75,793.85
2025-06-15,788.88,796.15
2025-06-16,781.72,784.1
2025-06-17,782.37,780.81
2025-06-18,778.63,782.05
2025-06-19,775.46,777.49
2025-06-22,778.15,780.12
2025-06-23,769.24,774.83
2025-06-24,771.26,770.97
2025-06-25,772.07,770.84
2025-06-26,763.68,768.42
2025-06-29,762.95,761.62
2025-06-30,771.22,766.79
2025-07-01,771.38,771.23
2025-07-02,776.94,774.43
2025-07-03,772.79,771.04
2025-07-06,767.19,767.39
2025-07-07,772.23,772.25
2025-07-08,763.11,765.53
2025-07-09,769.27,769.13
2025-07-10,769.97,770.06
2025-07-13,776.79,774.32
2025-07-14,775.99,773.21
2025-07-15,772.47,770.27
2025-07-16,772.0,772.69
2025-07-17,772.72,773.14
2025-07-20,777.6,775.14
2025-07-21,780.79,780.93
2025-07-22,788.42,787.58
2025-07-23,774.8,777.76
2025-07-24,773.26,773.85
2025-07-27,771.23,769.11
2025-07-28,767.85,767.8
2025-07-29,769.74,770.32
2025-07-30,766.68,765.5
2025-07-31,767.07,766.23
2025-08-03,777.29,776.83
2025-08-04,778.88,781.31
2025-08-05,780.05,780.44
2025-08-06,781.41,780.65
2025-08-07,784.05,782.56
2025-08-10,776.2,778.24
2025-08-11,772.76,773.55
2025-08-12,774.2,773.07
2025-08-13,775.51,776.35
2025-08-14,772.66,771.71
2025-08-17,774.31,773.11
2025-08-18,771.9,771.73
2025-08-19,769.54,768.23
2025-08-20,771.83,773.19
2025-08-21,770.55,772.48
2025-08-24,775.89,775.08
2025-08-25,777.89,777.78
2025-08-26,778.31,779.25
2025-08-27,780.38,779.55
2025-08-28,782.17,781.94
2025-08-31,795.01,792.58
2025-09-01,799.95,801.79
2025-09-02,810.72,812.42
2025-09-03,808.93,811.21
2025-09-04,811.94,811.55
2025-09-07,819.45,817.59
2025-09-08,831.08,830.83
2025-09-09,829.88,828.04
2025-09-10,827.78,830.88
2025-09-11,830.98,830.49
2025-09-14,828.53,829.26
2025-09-15,838.42,837.07
2025-09-16,832.53,834.82
2025-09-17,822.49,830.36
2025-09-18,825.63,825.12
2025-09-21,840.77,835.44
2025-09-22,850.09,847.95
2025-09-23,855.42,850.54
2025-09-24,850.68,848.42
2025-09-25,852.4,851.61
2025-09-28,862.34,855.9
2025-09-29,872.38,870.99
2025-10-08,911.33,910.4
2025-10-09,898.59,903.58
2025-10-12,924.55,919.02
2025-10-13,936.14,945.32
2025-10-14,957.71,953.95
2025-10-15,967.46,967.36
2025-10-16,998.8,990.35
2025-10-19,972.39,976.81
2025-10-20,991.8,993.35
2025-10-21,951.41,941.48
2025-10-22,941.53,933.9
2025-10-23,936.94,942.46
2025-10-26,932.58,932.11
2025-10-27,899.11,914.25
2025-10-28,908.34,906.41
2025-10-29,908.96,899.0
2025-10-30,920.45,918.81
2025-11-02,919.45,914.28
